,企業名,キャッチコピー,ステータス,初年度年収
39,株式会社修優舘 | あなたの経験と能力を満足のいく給与に変えてみませんか？,2人に1人が年収700万円超【講師・教室運営】※完全週休2日制も可 正社員,正社員,360万円～700万円
40,株式会社マイナビ | 就職や転職などのあらゆる人生の岐路を支えるサービスを提供,マイナビ転職の【広告営業】★全国の各拠点で積極採用中 正社員,正社員,380万円～570万円
41,株式会社ミルボン | 東証プライム上場のヘア化粧品メーカー：賞与実績年6.5ヶ月分,★未経験歓迎★ 美容室向けヘア化粧品メーカーの【営業職】 正社員,正社員,400万円～480万円
42,株式会社ミキモト | 業界を代表する世界的ハイジュエラー/年休121日/関西積極採用,【ジュエリーアドバイザー】~日本発のグローバルブランドで活躍~ 契約社員,契約社員,
43,株式会社星野リゾート・マネジメント,【ホテル・旅館の運営｜マネジメント候補生】第二新卒積極採用 正社員,正社員,370万円～450万円
44,ジョンソン・エンド・ジョンソン株式会社 | 完全週休2日制／福利厚生充実／20～30代女性活躍中！,【メディカル機器の提案営業(外科/整形外科領域)】★女性活躍中 正社員,正社員,550万円～800万円
45,東亜電気工業株式会社 | 創業以来75年 連続黒字経営のエレクトロニクス専門商社,電気・電子部品を既存取引先の法人に提案する【ルート営業】 正社員,正社員,
46,医療法人湘美会 | 湘南美容クリニック*残業5h以下*オフィス移転に伴う募集！,東京限定【問合せ対応スタッフ】駅から徒歩2分／新しいオフィス 正社員,正社員,300万円～400万円
47,学校法人藤川学園 | 自分の好きな科目が選べる！17時以降の授業はありません。,月給30万円以上を保証！【 学校職員（ 一般科目 ）】 契約社員,契約社員,360万円～500万円
48,アフラック収納サービス株式会社 | アフラックグループ／女性活躍推進法『えるぼし』最高評価を取得,アフラックグループで働く【事務系総合職】未経験・第二新卒歓迎 正社員,正社員,350万円～500万円
49,オリックス生命保険株式会社 | ◆賞与年4回/土日祝休み/退職金制度あり/充実の研修制度,20～30代活躍中！【提案営業】※固定月給25万円～/未経験歓迎！ 正社員,正社員,300万円～800万円
50,株式会社グローバルセンター | 転勤なし／コロナ禍でも好調のストックビジネス／社長も目指せる,【部門の責任者(経営幹部候補・マネージャー／リーダー)】 正社員,正社員,400万円～1200万円
51,東急リバブル株式会社 | ＜東急不動産ホールディングス(東証プライム上場)グループ＞,【法人営業】課題解決に向けたコンサル※ソリューション事業本部 正社員,正社員,400万円～600万円
52,グルンドフォスポンプ株式会社 | 世界トップレベル・ポンプメーカーの日本法人／年休126日以上,【購買スペシャリスト】◆土日祝休み◆賞与昨年度実績7カ月分 正社員,正社員,530万円～900万円
53,東リ株式会社 | プライム上場／圧倒的知名度＆シェア！あらゆる施設に東リ製品を,既存のお客様への【提案営業】★業界経験不問★20代活躍中 正社員,正社員,
54,株式会社近代設計 | 東証一部上場 E・Jホールディングス のグループ企業◆定着率抜群,【建設コンサルタント】残業月20h程度★賞与6ヶ月★完全週休2日 正社員,正社員,400万円～700万円
55,AZAPAエンジニアリング株式会社 | ＼6月25日(土)＊マイナビ転職フェア大阪に出展します／,未経験からチームで成長！Tier0.5へ挑戦【車両開発エンジニア】 正社員,正社員,
56,ポラス株式会社 | 《過去最高売上達成》15年連続住宅販売No.1！地域密着の安定企業,★賞与実績年6ヶ月分★【総合職(新築住宅営業・売買仲介営業)】 正社員,正社員,450万円～600万円
57,北都建設工業株式会社 | 2022年10月本社移転予定！賞与平均5.9ヶ月分◆年間休日129日,平均年収700万円【土木施工管理】※有資格者・未経験者歓迎 正社員,正社員,450万円～650万円
58,デリカSFホールディングス合同募集 | ヤマエグループ★セブンイレブンパートナーとして安定成長！,★初回配属地確約★【製造職】製造・品質管理・商品開発等 正社員,正社員,
59,グルンドフォスポンプ株式会社 | 世界トップレベル・ポンプメーカーの日本法人／年休126日以上,【製品技術・コンプライアンススペシャリスト】賞与実績7カ月分 正社員,正社員,530万円～900万円
60,株式会社識学 | 独自のマネジメント理論『識学』を展開／東証グロース市場上場,【組織コンサルタント】◆未経験歓迎◆週4日リモートワークOK 正社員,正社員,550万円～800万円
61,ＳＢＣパートナーズ税理士法人 | 《創業27年連続増収》更なる事業拡大に向けて邁進中！,企業の経営課題解決に取り組む【財務コンサルタント】※経験不問 正社員,正社員,350万円～500万円
62,ＡＧＣ株式会社 | プライム市場上場｜多彩な事業展開で安定感抜群｜有休取得率95％,【技能職】創業115年/世界シェアトップクラス/手当充実/未経験OK 正社員,正社員,
63,株式会社ゴールドファステート | 【固定月給30万円/大型連休年3回】【大阪府緊急雇用対策に賛同】,90％が未経験スタート！【コンサルティング営業】※テレアポ 正社員,正社員,600万円～2000万円
64,光伸株式会社 | 賞与最大年3回支給／完全週休2日制【大阪府緊急雇用対策に賛同】,専門商社の【総合職（営業・メンテナンス）】※年休120日以上 正社員,正社員,300万円～400万円
65,岡山機設株式会社 | 《公共性の高いインフラ企業》賞与年2回+決算賞与／福利厚生充実,長くキャリアを築ける！【 経理事務 】年休実質117日~（土日祝） 正社員,正社員,
66,株式会社ミギテック | やりたくない案件は断ってOK！これぞ真のエンジニアファースト！,フルリモート案件多彩！【ITエンジニア】★前職より給与UPを保証 正社員,正社員,450万円～1000万円
67,株式会社ＣＢコンサルティング | 20～30代が活躍中◆働きやすいフレックスタイム制◆年休124日,医療・福祉業界の課題を解決する【法人営業】★業界未経験歓迎 正社員,正社員,350万円～550万円
68,日軽パネルシステム株式会社 | 日本軽金属（株）100％出資／東証一部上場企業グループの安定性,圧倒的シェアを持つメーカーの【内装施工管理】★未経験OK！ 正社員,正社員,
69,株式会社ノジマ | ◆上場企業だからこその安定性◆正社員と変わらない待遇,★オープニングスタッフ募集中★【倉庫内作業スタッフ】 契約社員,契約社員,300万円～420万円
70,三井不動産レジデンシャル株式会社 | 三井不動産株式会社（東証プライム上場）グループ,【総合職】用地取得・企画開発・営業・海外事業等◆未経験歓迎 正社員,正社員,600万円～1150万円
71,学校法人藤川学園 | 完全週休2日制で残業少なめ☆仕事もプライベートも楽しめます！,"学生の"" 夢 ""を叶えるお手伝いをしませんか？【 広報・PR担当 】 契約社員",契約社員,
72,株式会社テクノ・クリエイト | 年休129日★残業ほぼなし★賞与年3回★フレックス制★リモートOK,多様な業界に携わる【マーケティング・リサーチャー】未経験歓迎 正社員,正社員,400万円～550万円
73,株式会社全教研 | 【学研グループ！北部九州に70拠点を展開】カジュアル面談を実施,★教員免許ナシでOK！未経験者も歓迎★【 講師（英語／数学）】 正社員,正社員,300万円～400万円
74,日軽パネルシステム株式会社 | 日本軽金属（株）100％出資／東証一部上場企業グループの安定性,未経験OK！業界で圧倒的シェアを持つパネルメーカーの【設計】 正社員,正社員,
75,株式会社TFDエステート | 【40年以上の実績を持つTFDグループ】,【賃貸管理】（賞与年2回／各種手当充実）※経験者歓迎 正社員,正社員,350万円～500万円
76,西武バス株式会社 | ★安定の【西武グループ】★借り上げ社宅制度 ★福利厚生が充実,【バス運行管理(事務員)】★未経験者歓迎★年休121日 正社員,正社員,400万円～450万円
77,株式会社NTTファシリティーズ | 建築×エネルギー×ICTで持続可能な未来をつくり、守りつづける,【データセンター空調設備技術者】海外製空調商材の販売拡大 正社員,正社員,500万円～800万円
78,株式会社リードホーム | 未経験入社9割！未経験者・特に歓迎！宅建4万・FP手当1万支給！,都心に特化！【不動産売買仲介】営業の半数以上が年収1100万円超 正社員,正社員,600万円～3000万円
79,フォーザウィン株式会社 | ＜完全週休2日／年間休日125日／有休取得100％／基本定時退社＞,【エンジニア総合職】★社会人経験必須★あなたの経験を高く評価 正社員,正社員,276万円～550万円
80,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,大分募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
81,東鉄工業株式会社 | プライム市場上場/JR東日本のパートナー企業/13年連続無借金経営,土木・建築等の【施工管理】◎平均年収851万円◎年間休日125日◎ 正社員,正社員,400万円～900万円
82,ポート株式会社 | 《東証グロース上場》完全週休2日☆年間休日120日☆福利厚生充実,学生向け就活メディアの【キャリアカウンセラー】★未経験歓迎 正社員,正社員,300万円～600万円
83,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,三重募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
84,株式会社スプリックス | ＜東証一部上場＞★賞与年2回（昨年度は通常の20％UP！）,森塾の【スクール運営(教室長候補)】◎Web面接実施 ◎男性活躍中 正社員,正社員,380万円～500万円
85,株式会社バローホールディングス | 設立から64年｜年休113日・週休2日…業界内でも働きやすさ抜群♪,未経験歓迎！笑顔があふれる職場♪バローの【 店舗スタッフ 】 正社員,正社員,250万円～500万円
86,ネットシステム株式会社 | 前職給与を最大限考慮／土日休み【大阪府緊急雇用対策に賛同】,多彩な案件を通じて成長できる！【ITエンジニア】残業少なめ 正社員,正社員,350万円～600万円
87,株式会社ジーネット | 【東証一部上場／フルサト・マルカHD】年間休日122日,日本のモノづくりを支える専門商社で活躍！【提案営業】未経験OK 正社員,正社員,400万円～540万円
88,株式会社ラクスパートナーズ | 上場企業グループ/9割が未経験スタート/年休120日以上/残業月10h,【ITエンジニア】★3ヶ月間の研修からスタート★未経験OK 正社員,正社員,350万円～500万円
89,グルンドフォスポンプ株式会社 | 世界トップレベル・ポンプメーカーの日本法人／年休126日以上,【ファイナンシャルコントローラー】土日祝休／賞与実績7カ月分 正社員,正社員,530万円～900万円
90,グルンドフォスポンプ株式会社 | 世界トップレベル・ポンプメーカーの日本法人／年休126日以上,【シニア・マーケティングスペシャリスト】賞与実績7カ月分 正社員,正社員,450万円～800万円
91,株式会社スリーエーコンサルティング | 9年連続売上は右肩上がりで成長中！残業ほぼなし！年間休日130日,ISO・Pマークに関する【コンサルティング】 正社員,正社員,300万円～400万円
92,アポプラスステーション株式会社 | 未経験入社率7割/直行直帰OK/MR認定試験合格率90％以上キープ,医薬品の営業【MR】《充実の研修制度★MR未経験歓迎★土日祝休》 正社員,正社員,
93,グルンドフォスポンプ株式会社 | 世界トップレベル・ポンプメーカーの日本法人／年休126日以上,【セールスエンジニア（機械・電気）】土日祝休み／賞与年3回 正社員,正社員,480万円～800万円
94,株式会社デイリー・インフォメーション中部 | ワークライフバランス推進認定企業／女性活躍推進認定企業,未経験から挑戦できる【 広告プランナー 】　★年間休日129日 正社員,正社員,300万円～450万円
95,株式会社ビッグモーター | 【5年連続買取台数No.1が活躍の舞台】★平均年収957万円以上,業界No.1の【自動車販売スタッフ】★経験/学歴/年齢不問 正社員,正社員,330万円～1500万円
96,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,長崎募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
97,株式会社ZEPE | 100％反響営業！無理のない働き方で、安定した収入を目指せる！,【ルート営業】未経験可！完全週休2日／高還元のインセンティブ 正社員,正社員,400万円～500万円
98,株式会社アイフリークモバイル | ◆東証JASDAQ上場の安定感◆,未経験から始める【IT事務】★残業ほぼゼロ★年間休日125日★ 正社員,正社員,250万円～700万円
99,株式会社ユートピア | ジョブチェンジ＆キャリアパスサポート企業◆残業月平均20h以下,【ITエンジニア】★第二新卒も大大大歓迎！★前給最大限考慮 正社員,正社員,300万円～800万円
100,イスコジャパン株式会社 | 88年間ずっと黒字経営の安定企業★昨年度の賞与実績…4.4ヶ月分,生活必需品である車のパーツを扱う専門商社の【 ルート営業 】 正社員,正社員,300万円～400万円
101,株式会社HYBE LABELS JAPAN | 土日祝休み＊年休125日以上＊完全フレックス制＊福利厚生充実,"韓流エンタメ業界の【A&R】★BTS,TXT,所属 正社員",正社員,300万円～1000万円
102,株式会社インテック | ◆未経験でも月給25万円～◆賞与年2回◆インセンティブ支給◎,人材サービスに関する【総合職(営業・人材コーディネーター)】 正社員,正社員,350万円～500万円
103,学校法人駿河台学園 | 【駿台予備学校】★完全週休2日★残業少なめ★正職員登用制度有,[募集拠点全国多数！]業界大手の駿台で働く【教務事務スタッフ】 契約社員,契約社員,
104,トランスコスモス株式会社 | 東証一部上場企業◆完全週休二日制◆育休取得後の復帰率97%,未経験歓迎！20代活躍中【ITサポート事務】年間休日122日以上♪ 正社員,正社員,320万円～700万円
105,富士フイルムロジスティックス株式会社 | 【富士フイルムグループ】★年間休日123日,物流スペシャリストとして成長【物流管理】★若手積極募集中 正社員,正社員,350万円～550万円
106,白元アース株式会社 | ミセスロイド、アイスノンなどで知名度を誇る総合日用品メーカー,経験やキャリアの幅が広がる【メーカー営業】 ※20～30代活躍中 正社員,正社員,350万円～600万円
107,ベックス株式会社 | 地域活性化事業の専門コンサル／働き方改革推進中／支え合う仲間,都市再開発や地域発展事業等のプロポーザル作成【企画コンサル】 正社員,正社員,400万円～800万円
108,トランスコスモス株式会社 | 東証一部上場企業◆あなたがもっと輝ける場所がある！,【総合職(事務等)】未経験歓迎★完全週休二日制★年間休日122日 正社員,正社員,320万円～700万円
109,パシフィックコンサルタンツ株式会社 | 【中国支社限定募集】業界最大級の総合建設コンサルタント集団,豊富な休暇制度が魅力！【建設コンサルタント】年間休日122日 正社員,正社員,
110,不動開発株式会社 | 《無借金経営・増収増益を継続中》上場企業からも長年の信頼あり,今年4月～年間123日に増加！【提案営業】★[未]歓迎・人物重視 正社員,正社員,450万円～600万円
111,株式会社キッズウェイ | 【河村電器産業グループ】創業100年以上の老舗メーカーの子会社,【法人営業】年休124日／賞与実績4.5ヵ月分／子育て支援充実 正社員,正社員,400万円～650万円
112,ベックス株式会社 | 地域活性化事業の専門コンサル／働き方改革推進中／支え合う仲間,【ITエンジニア】社内インフラの構築運用とMS365活用の事業展開 正社員,正社員,400万円～800万円
113,株式会社善仁会 | 人間ドック・生活習慣病健診などの総合健診センターヘルチェック,人間ドック・健康診断の【予約運営スタッフ】◎週休3日勤務もOK 正社員,正社員,300万円～500万円
114,株式会社やる気スイッチグループ | 19期連続増収中★実働7.25ｈ★土日休★大阪府緊急雇用対策に賛同,英語学童保育Kids Duo【教室長】未経験OK/年休120日/英語力不問 正社員,正社員,360万円～600万円
115,三備ホンダ販売株式会社 | 【 モデル年収 】 400万円（1年目）／ 600万円（入社3年目）,人気のホンダ車を提案！【 営業スタッフ 】残業少なめ／転勤なし 正社員,正社員,300万円～450万円
116,株式会社服部家具センター | 創業56年｜更なる成長＆進化に向け既存店を積極リニューアル中,イラレ＆フォトショの基本操作ができればOK【 制作スタッフ 】 正社員,正社員,
117,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,【エンジニア・技術職】理系職経験者募集◆学歴不問◆全国募集 正社員,正社員,
118,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,【カスタマーエンジニア】未経験歓迎◆学歴・年齢不問◆全国募集 正社員,正社員,
119,社会福祉法人しが夢翔会 | 賞与4.2ヶ月分／結婚・出産・入学祝い金など福利厚生も充実,障がい者向け施設の【生活支援員】★未経験歓迎 ★年休120日以上 正社員,正社員,300万円～400万円
120,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,全国募集【エンジニア・技術職】未経験歓迎◆高卒以上◆年齢不問 正社員,正社員,
121,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,【カスタマーエンジニア】理系職経験者募集◆高卒以上◆全国募集 正社員,正社員,
122,株式会社ビッグモーター | ＼充実したサポート環境／◆未経験女性も活躍中◆月8～10日休み,未経験歓迎♪【カーライフプランナー】平均年収957万円*高卒以上 正社員,正社員,330万円～1500万円
123,ケニス株式会社 | 【授業用機器～最新の理化学機器まで多彩な商品群】賞与年4ヶ月,理科教材等を扱うメーカー兼商社で活躍！【提案営業】年休120日 正社員,正社員,
124,ナスラック株式会社 | #上場企業のグループ #年休126日 #残業少なめ,＼営業経験者優遇／キッチンメーカーの【提案営業】 正社員,正社員,276万円～400万円
125,株式会社ニスコ | 【17年連続生徒数増の成長企業】★未経験者はゼロから研修します,長期連休あり・残業ほぼなし！【総合職(塾講師／企画・広報)】 正社員,正社員,
126,みやぎ生活協同組合 | 20代活躍中！安心と安定をお約束します☆ジョブチェンジあり！,地域密着で働く！【総合職(宅配/店舗)】※未経験者大歓迎 正社員,正社員,
127,株式会社山田屋 | [BRIDAL YAMADAYA] 老舗企業＆日本最大級の品揃え,＼未経験OK♪／キャリアップも可能！【ブライダルスタイリスト】 正社員,正社員,300万円～500万円
128,株式会社ストライプインターナショナル | ☆残業月10h程度☆年間休日116日☆一人暮らし手当・社割など有,キャリアUP実績多数!【総合職(販売)】第二新卒歓迎☆若手活躍中 正社員,正社員,
129,弁護士法人ブレインハート法律事務所 | みなとみらい駅直結の横浜オフィス勤務♪,【事務スタッフ】#完全週休2日制 #土日祝休み #残業ほぼなし 契約社員,契約社員,250万円～400万円
130,株式会社コスモス薬品 | ★無理なく適正な人数体制で店舗を運営しています ★20代活躍中,【総合職（店舗スタッフ）】★希望の勤務スタイルを選択できる 正社員,正社員,250万円～430万円
131,トランスコスモス株式会社 | 【東証プライム上場】えるぼし認定◆年休122日◆完全週休2日,Excelスキルを活かす【事務スタッフ】残業少なめ｜業界未経験OK 正社員,正社員,300万円～450万円
132,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,広島募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
133,株式会社マルハチ | 【26年連続業績UP】年間3～4店舗のペースで出店！／完全週休2日,食品スーパーの【総合職(店舗運営スタッフ)】昨年賞与4.7ヶ月分 正社員,正社員,
134,株式会社ホープス | 【東証一部上場 SHIFTグループ】#土日祝休 #残業月平均10h程度,未経験歓迎【ITエンジニア】#充実の2ヶ月研修#WEB面接のみで内定 正社員,正社員,315万円～400万円
135,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,京都募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
136,株式会社SHOEI | ★年間休日120 or 160日★月8~12日休み(土日休み可)★福利厚生◎,自分らしく働く【人事労務/総務】★フルリモート★週3日休みもOK 正社員,正社員,450万円～600万円
137,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,茨城募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
138,ケイ．イー．シー．株式会社 | 幅広い事業を展開するKEC教育グループ◇2023年～完全週休2日制！,未経験OK★組織・人づくりを行う【コンサルタント】育成環境充実 正社員,正社員,
139,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,熊本募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
140,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,北上募集【カスタマーエンジニア】理系職経験者募集◆高卒以上 正社員,正社員,
141,株式会社サンライズ・アカウンティング・インターナショナル | ★完全週休2日★土日祝休★Web面接可能,【経理事務】★完全ポテンシャル採用★絶対的自信の教育環境 正社員,正社員,
142,株式会社早稲田アカデミー | 《東証一部上場》圧倒的な合格実績！177校の進学・学習塾を運営,塾運営をサポートする【総合職(経営企画/総務/経理/運営/広告)】 正社員,正社員,350万円～600万円
143,株式会社アクセライズ | フルフレックス・テレワーク推進・副業OKなど柔軟な働き方が可能,＃20代の若手が活躍中【企画営業】*月給32万円～ *土日祝休み 正社員,正社員,380万円～700万円
