,企業名,キャッチコピー,ステータス,初年度年収
178,セブントゥーファイブ株式会社 | 【東証プライム上場のグループ企業】◎完全週休2日制◎WEB面接可,ドローン×AIの【自社内開発エンジニア】裁量◎/残業月20H以内 正社員,正社員,350万円～1200万円
179,損保ジャパンＤＣ証券株式会社 | 【ＳＯＭＰＯグループ】新宿駅から徒歩7分◎賞与年2回支給,ＳＯＭＰＯグループで経験を活かして活躍！【社内システム担当】 正社員,正社員,400万円～600万円
180,大陽日酸JFP株式会社 | 【大陽日酸株式会社(東証一部上場)グループ】★福利厚生充実！,モノづくりに欠かせない！特殊ガスの【製造系総合職】未経験歓迎 正社員,正社員,300万円～450万円
181,株式会社ファーマーズ・フォレスト | 「地域商社」として地方創生のビジネスモデルを構築する成長企業,社長室配属！地方創生ベンチャー企業の【総務・財務(管理職)】 正社員,正社員,350万円～600万円
182,株式会社野村総合研究所 | （NRI）【東証プライム上場】,【システムコンサルタント】（企画～設計～開発） 正社員,正社員,500万円～1000万円
183,アルフレッサファーマ株式会社 | ★1939年設立・東証プライム上場「アルフレッサ」グループの一員,★土日祝休み★残業月20H前後★医療機器製造を担う【生産技術】 正社員,正社員,300万円～490万円
184,"株式会社サイバーエージェント | CyberAgent, Inc. 年間休日124日/リモートワークあり/経験者優遇",化粧品の口コミサイト【広告営業】スタートアップメンバー募集☆ 正社員,正社員,408万円～650万円
185,北海道商工会連合会 | 企業の経営支援や地域振興事業を行う経済団体,【総合職(補助員・記帳専任職員)】※締切：6月13日(月) 書類必着 正社員,正社員,
186,株式会社マイナビM＆A | マイナビグループの信頼を活かして、事業承継問題を解決！,安定基盤で成長できる【M＆Aコンサルタント】金融経験者が活躍中 正社員,正社員,407万円～465万円
187,プラチナ万年筆株式会社 | 1919年創業・万年筆をはじめ筆記具のパイオニアメーカー,【製造技術者】世界的な知名度を誇る筆記具メーカーで活躍 正社員,正社員,290万円～450万円
188,ＣＰＡエクセレントパートナーズ株式会社 | ◆公認会計士等の資格取得を支援するスクール◆年間休日131日,マネジメント経験を活かす【企画運営】20~30代男性活躍中＊ 正社員,正社員,450万円～600万円
189,トータルマネジメント | 【 社会保険労務士・行政書士事務所 】＊産・育休の取得実績あり,高い専門知識を学べる【営業事務】年休123日＊資格支援制度 正社員,正社員,250万円～350万円
190,株式会社三輝設計事務所 | 創業40年◆30代男性活躍中◆残業20h◆転勤なし◆業務負担考慮＊,◆経験者想いの会社【建築設計】が好きで長く続けたい方全員面接 正社員,正社員,350万円～730万円
191,淀屋橋税理士法人 | 【在宅勤務制度あり※／入社祝金あり】大阪府緊急雇用対策に賛同,スキルを磨く【税理士アシスタント】★土日祝休★年休120日以上 正社員,正社員,400万円～500万円
192,株式会社野村総合研究所 | （NRI）【東証プライム上場】,【システムコンサルタント】ITアーキテクチャコンサル～設計構築 正社員,正社員,500万円～1000万円
193,大原出版株式会社 | 資格業界トップクラスの大原学園グループで働くチャンス！,【企画広報】未経験歓迎／年休122日／賞与年2回(昨年度5ヵ月分) 正社員,正社員,
194,株式会社島津製作所 | 【東証プライム上場】リモート率約7割｜残業平均10h｜年休128日,自社製品ソフトウェアの開発推進【ソフト開発】※京都本社募集 正社員,正社員,500万円～850万円
195,ラサ工業株式会社 | 【東証プライム市場】◆化学/機械/電子材料の総合メーカー,未経験歓迎／プライム市場の安定企業／リン系素材の【法人営業】 正社員,正社員,300万円～500万円
196,藤原鋼材株式会社 | 【創業68年】幅広い業界の400社以上を支える『鋼材の専門商社』,専門商社の【提案営業】スキルアップをサポート※正社員登用前提 契約社員,契約社員,420万円～700万円
197,東芝環境ソリューション株式会社 | 《東芝グループ唯一の総合環境ソリューション企業》,東芝グループの一員として活躍！【総務】★年間休日124日 正社員,正社員,
