,企業名,キャッチコピー,ステータス,初年度年収
112,KDDIエンジニアリング株式会社 | ★「健康経営優良法人2022」認定★土日祝休み★残業月30h程度,KDDIグループの【モバイルネットワークエンジニア(戦略立案)】 正社員,正社員,450万円～650万円
113,株式会社カクニシビルダー | 【創業65年】転勤なし・栃木密着で成長中のホームビルダー,"""こだわりの1棟""をカタチにする【建築施工管理】※未経験歓迎 正社員",正社員,360万円～700万円
114,株式会社IIJプロテック | ◆東証一部上場・業界大手IIJグループ ◆年休125日 ◆賞与年3回,未経験入社率95％！！充実の研修で安定のIT業界へ【IT系総合職】 正社員,正社員,300万円～700万円
115,アイアール株式会社 | ★完全週休2日制（土日祝） ★年間休日125日 ★超充実の福利厚生,休める！稼げる！楽しめる♪【施工管理アシスタント】★未経験OK 正社員,正社員,350万円～960万円
116,"株式会社カクヤス | みんな知ってる""業界のリーディングカンパニー""",【お酒の配達ドライバー】未経験歓迎&普通免許でOK！15:30退社 正社員,正社員,
117,株式会社ラストデータ | IT×教育で新しいビジネスモデルを構築/未経験歓迎/前職給与保証,エンジニアを育てる最高の研修を作る【カリキュラム作成・講師】 正社員,正社員,400万円～1000万円
118,株式会社アドヴァンスト・インフォーメイション・デザイン | エクシオグループ株式会社（東証一部上場）のグループ会社,【システムエンジニア 】 ◎定着率95％ ◎完全週休2日制 正社員,正社員,300万円～500万円
119,株式会社三河屋 | ★完全週休2日制 ★住宅補助あり ★同期入社多数,未経験デビューを応援！ゼロから始める【 エンジニア候補生 】 正社員,正社員,300万円～500万円
120,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／無料送迎あり♪,牡蠣旨し♪【日産自動車九州の製造スタッフ】★苅田町(株)PEO 正社員,正社員,350万円～360万円
121,株式会社サカイ引越センター | ★千葉エリアでの募集★8年連続売上・取引件数第一位！,月給25万円以上！リフレッシュ休暇あり【営業スタッフ】未経験OK 正社員,正社員,400万円～600万円
122,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,35歳以下★ソフトバンクの【法人営業】学歴不問★未経験OK 正社員,正社員,
123,Reコンサルティング株式会社 | #完全週休2日制 #残業少なめ #在宅勤務もOK #月給25万円～,仕事が楽しいと思える♪【総合職(マーケティング)】★年休125日 正社員,正社員,
124,株式会社pacebox | 株式会社i-plug100%子会社/2022年4月設立/完休2日/年休120日以上,人材系総合職【直販営業／RA／CA】★オープニングメンバー募集 正社員,正社員,420万円～900万円
125,株式会社キューブアクト | 完全週休2日、残業も月10時間程度で働きやすい環境が魅力！,【総合職】（事務・営業・コーディネーター）★未経験から挑戦OK 正社員,正社員,
126,株式会社コプロ・エンジニアード | ＃年間休日125日＃転勤なし＃産育休など福利厚生充実,【 管理事務 】事務のお仕事からステップUP★高卒以上 正社員,正社員,400万円～500万円
127,アメリカン・エキスプレス・ジャパン株式会社 | ★2021年度「働きがいのある会社」若手ランキング第1位★,法人ビジネス・カードの【カスタマーコンシェルジュ】未経験歓迎 正社員,正社員,350万円～550万円
128,つばめ自動車株式会社 | 入社祝金10万円★40・50代で入社⇒平均年収495万円,今まで頑張ってきたあなたへ。【 サービスドライバー 】 正社員,正社員,350万円～450万円
129,株式会社ランテック | 【東証プライム市場上場「センコーグループ」の一員として活躍】,◎全拠点同時募集！転勤なし♪【商品管理】★未経験OK！ 正社員,正社員,
130,株式会社鳥貴族 | 鳥貴族ホールディングス グループ会社,【総合職(運営スタッフ/店長候補)】各種手当充実/20～40代活躍中 正社員,正社員,350万円～450万円
131,千葉産業株式会社 | iPadやアプリ導入で成長・営業しやすい環境！ストレスなく働ける,《月給30万円以上》【ルート営業】充実の教育があるから未経験OK 正社員,正社員,360万円～430万円
132,株式会社TCフォーラム | MEETING SPACE AP(貸し会議室)を東京・大阪にて展開★転勤なし,【貸し会議室運営Staff】東京/大阪★未経験歓迎≪東急グループ≫ 正社員,正社員,350万円～500万円
133,株式会社ディーエイチシー | 健康食品メーカーシェアNo.1/福利厚生充実/6連休取得OK/転勤なし,【ショップカウンセラー候補】★年間休日122日 ★残業ほぼなし 正社員,正社員,250万円～350万円
134,ホシザキ関東株式会社 | ＊世界60ヶ国以上で使われる「ホシザキ」グループ＊福利厚生充実,東証プライム上場グループの【サービスエンジニア】※未経験歓迎 正社員,正社員,300万円～400万円
135,株式会社コプロ・エンジニアード | 上場企業コプロ・ホールディングスのグループ,憧れを仕事に！【 街づくりプロデューサー 】★未経験歓迎！ 正社員,正社員,400万円～500万円
136,株式会社ザイオン | 【髪型・服装・ネイル自由/6ヵ月の研修有/有休消化率90％以上】,未経験から始められる【カスタマーサポート】★月給25万円以上 正社員,正社員,350万円～400万円
137,ソニー損害保険株式会社 | ソニーグループ×福利厚生充実＊年休120日以上＊WEB選考実施中,未経験者歓迎【お客様サポート】★保険勧誘業務なし★東京募集 正社員,正社員,300万円～350万円
138,DSP株式会社 | ★服装・髪型自由/ネイルOK/産休育休実績あり★20~30代活躍中,★学歴不問/35歳以下★【事務系総合職】◎原則定時退社◎完休2日 正社員,正社員,250万円～400万円
139,株式会社TERASS | 【自由な働き方】×【高収入】を実現可能！,出社義務・ノルマなしの【不動産営業】経験者募集/名古屋担当 業務委託,業務委託,100万円～2000万円
140,株式会社タートル | 1939年創業の安定環境｜お客様に「喜び」と「感動」を届ける,【フォトスタジオスタッフ】◎未経験・第二新卒OK◎専門研修あり 正社員,正社員,
141,三共アメニテクス株式会社 | 原則転勤なし！希望勤務地へ配属します！,平均賞与83万円！安定しながら年収UP！【 営業 】※九州限定募集 正社員,正社員,350万円～400万円
142,中京広告株式会社 | 《2007年設立＊成長中企業》いろんな事にチャレンジできる環境,リーダー候補募集！WEB制作や広告の【企画営業】★完全土日休み 正社員,正社員,
143,テー・ピー・エスサービス株式会社 | 土日祝休み・年休120日以上・残業月5H以内,"未経験入社率95％ ""ゼロ""から学んでITデビュー【エンジニア】 正社員",正社員,236万円～400万円
144,株式会社ひなご | 新設部門スタートアップ募集／上場を視野・昨対比15倍の成長企業,【建築施工管理】☆週休2日制☆未経験でも応募OK・月給30万～可 正社員,正社員,540万円～1000万円
145,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,月35万～【ITエンジニア】★有給消化81％★経験者採用／学歴不問 正社員,正社員,450万円～1000万円
146,株式会社リクルートスタッフィング情報サービス | 未経験からスキルを身に付けて、安定したキャリアをスタート！,未経験歓迎★大手・優良企業で働ける【初級ITエンジニア】 正社員,正社員,
147,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！ 正社員,正社員,400万円～1000万円
148,リゾートトラスト株式会社 | 東証プライム・名証プレミア上場｜健康経営優良法人 5年連続認定,◆特別な時間をお届けする【ホテル総合職】未経験歓迎/年休120日 正社員,正社員,300万円～550万円
149,株式会社広真アド | 「教育」に強い総合広告会社◆将来のCTO候補,『情報発信プラットフォーム』【社内SE／WEBシステム開発】 正社員,正社員,550万円～800万円
150,株式会社NECT | お客様に寄り添う気持ちを大切にする会社＊上京応援＊WEB面接1回,【サポートデスク】＊年休120日＊未経験入社95％＊服装自由 正社員,正社員,300万円～450万円
151,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均22時間・年間休日123日・賞与平均4.9ヶ月分】,【土木系技術職】※東北エリア限定募集・UIターン歓迎！ 正社員,正社員,250万円～500万円
152,DSP株式会社 | <レア求人>完全週休3日&残業ほぼゼロ※大阪府緊急雇用対策に賛同,＼まさかの年休168日!?／【入居者ケアスタッフ】※高卒以上 正社員,正社員,250万円～450万円
153,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均22時間・年間休日123日・賞与平均4.9ヶ月分】,【電気・通信・機械職】※東北エリア限定募集・UIターン歓迎！ 正社員,正社員,250万円～500万円
154,中日本ハイウェイ・エンジニアリング名古屋株式会社 | NEXCO中日本グループ／年間休日130日以上／賞与6ヶ月分支給,高速道路の【技術系総合職(土木、建築、電気・通信、機械)】 正社員,正社員,300万円～600万円
155,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクの【法人営業】社会人経験必須◎販売/接客経験歓迎 正社員,正社員,
156,株式会社日本住宅クリエイト | 【日本住宅総合開発グループ】平均年齢24歳◎若手が多数活躍中！,電気設備機器の【取付・配線スタッフ】★未経験歓迎★賞与年3回 正社員,正社員,345万円～600万円
157,株式会社丸千代山岡家,ラーメン店の【店長候補】◆週休3日制有◆未経験歓迎◆学歴不問 正社員,正社員,270万円～360万円
158,大日本印章株式会社 | 【トップHDグループ】★オープニングスタッフ募集！博多駅前勤務,"★印章業界大手の【提案営業】*福岡限定採用！未経験OK,土日祝休 正社員",正社員,350万円～800万円
159,山崎電設工業有限会社 | 《設立47年！中電工と安定取引を続ける地場の優良企業》,地域の生活を支える【重機オペレーター】年齢不問！転勤なし 正社員,正社員,
160,技研サービス株式会社 | 安定性◎大手メーカーと長年取引！愛媛/福岡/広島/石川/大阪募集,【総合職(定期点検・フロン回収)】未経験歓迎！年休121日 正社員,正社員,300万円～400万円
161,山崎電設工業有限会社 | 《設立47年！中電工と安定取引を続ける地場の優良企業》転勤なし,賞与年2回／週休2日でしっかり休める【調査・設置技術スタッフ】 正社員,正社員,
162,株式会社ベリサーブ | SCSKグループ★平均有給取得11.3日/賞与5.0カ月分(2021年度実績),上流工程から品質向上に貢献【SAPコンサルタント】★年休124日 正社員,正社員,400万円～1000万円
163,株式会社壮栄社 | 【大阪府緊急雇用対策に賛同】◎土日祝休 ◎年休125日,ディスプレイ、イベント等様々なプロモーションの【企画営業】 正社員,正社員,
164,DSP株式会社 | 完全週休2日/残業ゼロ/産休育休実績有/大阪府緊急雇用対策に賛同,通勤時間20分以内も可能【入居者サポートスタッフ】★学歴不問 正社員,正社員,300万円～450万円
165,"ＪＲ東日本ビルテック株式会社 | ★第二新卒歓迎 ★年間休日""最大124日"" ★有給取得率77%",JR東日本の駅または駅ビル・オフィスビル等の【施設管理職】 正社員,正社員,300万円～700万円
166,株式会社キョウデン | 東証二部上場の安定環境のもと産業を支えるプリント基板メーカー,IoT、AI、5Gなどを支える【製造スタッフ】 ≪大規模増員≫ 正社員,正社員,350万円～450万円
167,"株式会社四国シジシー | 総年商4兆9,509億円を誇る「CGCグループ」/残業少なめ/転勤なし",地域の「食」を支える【営業企画】※土日休み ※転勤なし 正社員,正社員,
168,全国漁業協同組合連合会 | 【JF全漁連】コロナ対応テレワーク導入／賞与実績年5.16か月,"【企画営業】☆魚食の魅力を伝え、水産業の""これから""に貢献！ 正社員",正社員,400万円～500万円
169,株式会社テクノプロ・コンストラクション | 業界売上No.1【東証一部上場テクノプログループ】,正社員デビュー大歓迎【総合職(管理・資料作成等)】★未経験歓迎 正社員,正社員,300万円～400万円
170,株式会社ヴィットリア | 新規事業立ち上げ！全国からの応募受付！WEB面接OK！,【ショップアドバイザー】経験者優遇・未経験者OK＼20代活躍中／ 正社員,正社員,300万円～540万円
171,株式会社ベリサーブ | 名古屋募集★平均有給取得11.3日/賞与5.0カ月分(2021年度実績),【品質保証コンサルタント】ソフトウェア・ネットワーク機器など 正社員,正社員,450万円～1000万円
172,株式会社プレナス | 【東証プライム上場】ほっともっと・やよい軒／※正社員採用※,120名採用プロジェクト始動！【店舗スタッフ（店舗運営）】 正社員,正社員,300万円～500万円
173,株式会社ハマエンジニアリング | 交替制で働くメリット⇒休日数＆給与UP★残業が発生しずらい！,★三重県募集★交替勤務だからこそ稼げる【半導体メンテナンス】 正社員,正社員,
174,株式会社ベネフィット・ワン | 【東証プライム上場】土日祝休み・完休2日制＝年間休日127日以上,～NEW OPEN～長野のスタートメンバー採用！【事務】 正社員,正社員,284万円～446万円
175,MIRAIE株式会社 | 業界最高クラスの高インセンティブ支給★20・30代がコアメンバー,未経験OK★アポ取得のみ担当！【 PRスタッフ 】※完全週休2日 正社員,正社員,
176,メットライフ生命保険株式会社 | ★完全週休2日制★賞与年4回(個人業績による)★Web面談可,未経験から始められる【コンサルティング営業】★完全週休2日 正社員,正社員,
177,株式会社ユナイトボード | 売上連続アップ中で成長性抜群 ★産育休取得・復帰実績あり,未経験歓迎！インテリアメーカーの【企画営業】★女性活躍中 正社員,正社員,320万円～560万円
178,遠州鉄道株式会社 | アフラック募集代理店　★6月11日マイナビ転職 東京フェア出展★,【保険アドバイザー】新規開拓なし＆家族や友人への勧誘も不要◎ 正社員,正社員,300万円～600万円
179,株式会社ケアリッツ・テクノロジーズ | 私服OK！退職金制度あり♪有給取得率9割以上★完全土日休み,リモート有！残業月10hでプライベートも充実【 PG 】完全土日休 正社員,正社員,370万円～1020万円
180,株式会社リクルートスタッフィング | リクルートグループの正社員に♪有名企業で働ける！在宅ワーク有,【貿易事務】20代女性活躍中♪月給制＆賞与年2回★土日祝休み 正社員,正社員,250万円～350万円
181,伊野建設株式会社 | 『 私のこと誰も社長となんて呼びませんよ(笑)』社風はほのぼの,一言でいうとあったかい！街づくりを支える会社【作業スタッフ】 正社員,正社員,
182,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,基本17時退社★平均月給42.9万円【法人営業】※社会人経験者限定 正社員,正社員,
183,株式会社野村総合研究所 | （NRI）東証プライム上場★海外研修など豊富な研修制度あり,【システムエンジニア(インフラ/ミドル/アプリ開発)】※福岡募集 正社員,正社員,
184,株式会社KDDIエボルバ | 東証1部上場企業グループ◆テレワーク可！賞与年2回／年休123日,★安定と挑戦を両立できる会社【ITエンジニア(開発／インフラ)】 正社員,正社員,350万円～650万円
185,三菱ふそうトラック・バス株式会社 | ダイムラートラックグループ/グローバルな事業展開/福利厚生充実,【国内セールス/提案営業】フレックス/年間休121日/福利厚生充実 正社員,正社員,350万円～750万円
186,株式会社オープンアップシステム | 東証プライム上場「夢真ビーネックスグループ」/働きやすさ重視,【ITエンジニア】前給保証/成長保証/自分のペースで働ける安心感 正社員,正社員,400万円～1000万円
187,株式会社イーマックエンジニアリング | 【東日本エリアの高速道路の建築設計プロ集団】★20~30代活躍中,★土日祝休み！年休128日以上！【建築設計（意匠・電気設備）】 正社員,正社員,360万円～610万円
188,株式会社ワールドスポーツ | 釣具のキャスティング★残業代全支給★手当充実★年休118日以上,"""好きを仕事に""【販売スタッフ】35歳以下の未経験＜積極採用＞ 正社員",正社員,
189,株式会社EMD | リモート環境はすべて会社が揃えます！(PC・ディスプレイetc...),出社義務なし！100％リモート勤務の【ITエンジニア】※全国募集 正社員,正社員,320万円～700万円
190,有限会社小山塗装 | 《 施工実界トップクラス！建物の価値・景観デザインにも貢献 》,未経験歓迎！【塗装施工の工程管理】★残業少／完全週休2日制 正社員,正社員,
191,光洋運輸産業株式会社 | 川崎重工業グループ 川重冷熱工業株式会社のパートナー企業,物流を通して社会を支える【梱包・発送スタッフ】★未経験歓迎 正社員,正社員,370万円～400万円
192,株式会社ベストリイム | 【名古屋南営業所】中途入社100%・未経験・20~30代多数活躍中！,"ヘアサロン向け【営業】オシャレ,美容に興味があれば楽しめる！ 正社員",正社員,350万円～550万円
193,株式会社福屋不動産販売 | 完全週休2日制・年3回長期休暇あり／転居を伴う転勤なし！,近畿限定募集！【住まいのアドバイザー】業界未経験者も歓迎 正社員,正社員,350万円～550万円
194,株式会社J's Factory | モノづくりを支える ※全国41拠点に展開中！選択肢が豊富,【製造・技術系総合職】★個室寮アリ★将来のリーダー候補 正社員,正社員,335万円～610万円
195,株式会社グランレブリー | InstagramやYouTubeでの情報発信により高い知名度を獲得,★お客様の理想を叶える★【建築設計】※育成枠採用｜未経験歓迎 正社員,正社員,300万円～800万円
196,大新東株式会社 | ◎普通免許があれば未経験OK/土日休み/原則転勤なし,【役員運転手】★40～60代活躍中 ★年休110日以上 ★全国募集 正社員,正社員,
197,株式会社ワールドコーポレーション | 【Nareru Group】設立以来、右肩上がりに成長中！賞与年2回,未経験歓迎！【点検保守・資材調達】★土日休み／男性活躍中 正社員,正社員,350万円～500万円
198,株式会社スウェーデンハウス | ハウスメーカー 注文住宅ランキングお客様満足度8年連続No.1*,＼全国募集！／輸入注文住宅の【提案営業】※未経験歓迎 正社員,正社員,400万円～550万円
199,株式会社あんしんネット21 | 若手の定着率◎★気楽に稼げる仕事に”ハマった”20・30代活躍中,なんとな～くでも、きっとハマる。【 サービスアテンダント 】 正社員,正社員,350万円～600万円
200,クリスピー・クリーム・ドーナツ・ジャパン株式会社 | <SNSで話題の人気店>20代店長在籍/U・Iターン歓迎/年間休日119日,全国で積極採用中！【ストアマネージャー/SV候補】◎未経験OK 正社員,正社員,250万円～500万円
201,株式会社アイエム | 【リモートワークが中心】★年休124日 ★残業月20時間以内,【インフラエンジニア】★月給30万円以上 ★フレックスタイム制 正社員,正社員,400万円～700万円
202,オリジナル設計株式会社 | ◆創業60年 ◆暮らしに欠かせない水インフラを支える安定企業,水処理施設の【建築・機械設計】★実務未経験OK ★高い社会貢献 正社員,正社員,360万円～650万円
203,ＳＯＭＰＯひまわり生命保険株式会社 | 土日祝＋安心の固定給/オンライン商談可/3年の研修制度/転勤なし,【ライフカウンセラー】★全国募集★女性活躍中★学歴不問 正社員,正社員,350万円～600万円
204,株式会社アヴァンザ | 【研修制度充実】賞与年2回／在宅9割／離職率1.3%／自社サービス,未経験歓迎★年休125日／残業15H以内／年収350万円【SE・PG】 正社員,正社員,350万円
205,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／山と川、サーフィンも♪,格安食堂♪【トヨタ自動車九州の製造スタッフ】★宮若市(株)PEO 正社員,正社員,390万円～420万円
206,株式会社Amplify Technology | ＜600社と取引するVRSTグループの新会社/リモート8割/副業OK＞,未経験から1年で設計書を作る上流の力が磨ける【ITエンジニア】 正社員,正社員,360万円～1500万円
207,株式会社NEXT STORIES | ★入社祝金10万円★平均年収720万円※大阪府緊急雇用対策に賛同,【アフターフォロー営業】★月給30万～&完休2日★WEB面接OK 正社員,正社員,600万円～700万円
208,日立建機日本株式会社 | 年休129日/完全週休2日制/借上部屋・住宅手当など福利厚生充実,現場の課題はあなたが解決！人に寄り添う建設機械の【営業】 正社員,正社員,
209,ソフトバンク合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクショップの【受付販売スタッフ】全国募集★高卒以上 正社員,正社員,300万円～400万円
210,株式会社ランテック | 【東証上場「センコーグループ」】★賞与実績年：4.26ヶ月！,物流企業の中核を担う【ドライバー】★資格取得支援有・未経験OK 正社員,正社員,
211,有限会社竹内工業 | ★選べる働き方「週休2日制」or「完全週休2日制」を選択OK,【 総合職(測量補助/管理スタッフ/メンテナンス) 】★未経験OK！ 正社員,正社員,300万円～650万円
212,株式会社サニックス | ◆NTTスマイルエナジーの提供するサービスの提案も担う,＜プライム上場＞再生可能エネルギー商材を提案【メーカー営業】 正社員,正社員,
213,トーテックフロンティア株式会社 | 未来のクルマ作りに貢献できる仕事★検査/設計/開発…PJが多彩！,はじめての転職を応援【 エンジニア 】年休123日／賞与実績4ヶ月 正社員,正社員,350万円～450万円
