,企業名,キャッチコピー,ステータス,初年度年収
146,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,広島限定★拡大中拠点で活躍！10名以上の増員募集【 提案営業 】 正社員,正社員,350万円～1000万円
147,TSネットワーク株式会社 | JTグループならではの安定基盤と待遇★賞与・昨年度実績5.06カ月,【配送ドライバー】★完休2日 ★残業月平均10H程度 ★未経験歓迎 正社員,正社員,300万円～400万円
148,株式会社水工社 | ★4ヶ月研修で未経験から育成★賞与年2回★年休125日★土日祝休,【設計・監理(電気・空調・衛生設備)】◎入社月から給与支給OK 正社員,正社員,400万円～600万円
149,服部相互不動産株式会社 | 地域に根付き40年以上｜確かな歴史と実績で安定した経営基盤,地域の暮らしを守るやりがいを【営業】★前職給を考慮！ 正社員,正社員,400万円～800万円
150,ロイヤル綜建株式会社 | 『積水ハウスグループ』指定工事店☆Web面接・テレワーク可能,理想の働き方を実現！未経験OKの【施工管理アシスタント】 正社員,正社員,350万円～650万円
151,三井ホーム株式会社 | 年休120日以上/フレックスタイム/土日祝休み/手当・福利厚生充実,大規模木造建築に挑戦！【設計】※設備に関する実務経験者歓迎！ 正社員,正社員,400万円～780万円
152,株式会社アサンテ | 【東証プライム上場】未経験スタート95％◆年末年始は12連休,業界No.1【ハウスメンテナンスの営業】未経験OK★平均年収637万 正社員,正社員,
153,フジトミ証券株式会社 | 〈上場企業グループ〉★手厚い福利厚生 ★産休育休実績あり,未経験からプロへ！【提案営業】★資格取得支援 ★残業月10～30H 正社員,正社員,320万円～500万円
154,"日本産業株式会社 | ""価格勝負""をしない独自のビジネスモデル｜人気の食品業界で働く",若手活躍中！【食品のメニュー提案営業】★充実の福利厚生！ 正社員,正社員,300万円～500万円
155,KUROFUNE＆PARTNERS株式会社 | #飛び込み・テレアポ業務なし #スタートアップ募集 #転勤なし,【反響営業】未経験歓迎／月給30万円～／車通勤OK(社用車支給) 正社員,正社員,500万円～700万円
156,株式会社タカラレーベンリアルネット | 東証プライム上場 タカラレーベングループ：年間休日120日以上,未経験OK！　”安定×成長” 企業で活躍する【営業系総合職】 正社員,正社員,400万円～1000万円
157,日本交通株式会社 | ★新木場営業所限定募集★入社祝い金20万円／充実の研修で安心,未経験OK！【タクシードライバー】★賞与年3回★土日休みも可能 正社員,正社員,400万円～600万円
158,永井電設株式会社 | 関電グループ案件中心の安定基盤(大阪府緊急雇用対策に賛同),未経験でも月給30万円～【電気通信保守スタッフ】★賞与年2回 正社員,正社員,400万円～500万円
159,大東建託リーシング株式会社 | 東証一部上場・大東建託(株)グループ/年休115日・福利厚生充実,【ルームアドバイザー】◆男女ともに活躍中！◆賞与年2回 正社員,正社員,350万円～500万円
160,マーキュリーアシェンソーレ株式会社 | 『賞与年3回』『土日祝休み』『福利厚生充実』など働きやすさ◎,エレベーターの【メンテナンス】★未経験OK ★選べる勤務地 正社員,正社員,350万円～700万円
161,株式会社コプロ・ホールディングス | 東証プライム・名証プレミア上場 | 健康経営優良法人2022認定,20代活躍中！【総合職 （営業・施工管理 】東証プライム上場企業 正社員,正社員,350万円～450万円
162,三井ホーム株式会社 | 正社員登用有り/年休120日超/賞与年2回/フレックスタイム,好きな街で働く【リフォームアドバイザー】完休2日/女性活躍中 契約社員,契約社員,300万円～450万円
163,株式会社中野鍛造所 | 【大阪緊急雇用対策に賛同】資格取得(会社全額負担)◆残業少なめ,★育成枠★金型の【製造スタッフ】※完全週休2日制（土日） 正社員,正社員,
164,光矢工業株式会社 | 【倉敷中心に安定成長！プラント配管・製缶の「メーカー」です】,完全週休2日も可【総合職（製造／施工）】賞与100万円の実績あり 正社員,正社員,300万円～450万円
165,布亀株式会社 | 《創業143年の老舗》▼希望勤務地を考慮&エリア越えの転勤なし▼,＼育成枠採用／【サンプル配布営業】★未経験OK★基本土日祝休み 正社員,正社員,300万円～500万円
166,L.PROJECT株式会社 | 【 業績◎圧倒的な業界シェアを誇る注目企業！ 】完全週休2日制,商品PRメイン！の【 営業スタッフ 】賞与年4回★年休120日～可 正社員,正社員,350万円～700万円
167,株式会社エイジェック | 栃木限定募集！20代で年収550万以上の社員在籍！社員食堂/寮あり,【製造系総合職】★面接確約★年間休日121日以上★完全週休2日制 正社員,正社員,330万円～450万円
168,株式会社サンテクノ | 賞与年4回★社用車貸与★車レンタル制度★コロナの抗体検査実施,テレアポなし！【営業】条件に合う方全員面接★完全週休2日 正社員,正社員,
169,三井ホーム株式会社 | 年休120日/フレックスタイム/完全週休2日/手当・福利厚生充実,顧客に寄り添う大規模木造建築の提案を【営業】 正社員,正社員,400万円～780万円
170,株式会社ビッグモーター | 【5年連続買取台数No.1が活躍の舞台】★平均年収957万円以上,未経験から稼げる【営業】1年目で年収1000万円可能 ※45歳以下 正社員,正社員,330万円～1500万円
171,株式会社やる気スイッチグループ | 19期連続増収★実働7.25ｈ★年休120★大阪府緊急雇用対策に賛同,スクールIE/WinBe【教室長】人生のスイッチが入る瞬間をあなたも 正社員,正社員,360万円～600万円
172,長州建設工業株式会社 | 年1回昇給+意欲次第で随時昇給あり【大阪府緊急雇用対策に賛同】,土日休みの公共事業！【技術スタッフ】年休125日／月給24万円～ 正社員,正社員,
173,株式会社一休 | 予約サイト『一休.com』を展開／コロナ禍でも業績好調！,【法人営業】★未経験歓迎★20代活躍中★土日祝休み★残業少なめ 契約社員,契約社員,
174,カーコンビニ倶楽部株式会社 | 月給30万円～/定時退社もOK/賞与年2回/20代～40代活躍中,人と接するのが好きなら経験不問！【企画営業】*土日祝休み 正社員,正社員,420万円～560万円
175,三井ホーム株式会社 | 《三井グループ》フレックスタイム/手当・福利厚生充実,大規模木造建築に挑戦できる【施工管理】★土日祝休み 正社員,正社員,400万円～780万円
176,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,「新宿」限定募集★4人に1人は年収1000万円以上!!【 提案営業 】 正社員,正社員,350万円～1000万円
177,株式会社SOPHIAS | 【業界では珍しい!?】★完全週休2日 ★残業少なめ ★面接1回,"【営業職】▼『経験者はすぐに""課""をお任せ』&『月給40万円~』▼ 正社員",正社員,360万円～1100万円
178,株式会社ライフコーポレーション | 東証プライム上場／月給25万円～【大阪府緊急雇用対策に賛同】,業界経験＆年齢不問！ライフの【店舗管理スタッフ】近畿限定募集 契約社員,契約社員,300万円～350万円
179,株式会社カインド リフォーム | 【大阪府緊急雇用対策に賛同】住宅や家族手当も◎駅チカ好立地！,未経験歓迎!!【営業職】★スターティングメンバ―の募集！ 正社員,正社員,
180,株式会社コペル | ★夜勤なし ★完全週休2日 ★送迎ナシ ★持ち帰り残業なし,子どもに寄り添う【チャイルドケアスタッフ】未経験OK※資格不問 正社員,正社員,300万円～500万円
181,株式会社TOP LIFE | 既存顧客対応メイン/社用車貸与/フレックスタイム制＆直行直帰OK,【提案営業】未経験でも月給30万円～／年収1000万円超の社員多数 正社員,正社員,
182,株式会社リクルート | 旅行領域★年間休日145日／完全週休2日制／男性の育休取得実績有,【企画営業(じゃらん)】※全国募集◆土日祝休み◆賞与年2回 正社員,正社員,400万円～462万円
183,株式会社 One's Will | ★履歴書不要・面接保証★ノルマなし★残業月4.6H★在宅ワーク有,5G拡大を手がける【コーディネーター】最長1年の研修<高卒以上> 正社員,正社員,350万円～700万円
184,株式会社日本エスコン | 【中部電力グループ】★日本ハムファイターズの新球場命名権取得,《東証一部上場》【自社マンション販売】◎完全週休2日制 正社員,正社員,400万円～1000万円
185,株式会社トラスト・インベストメント | ＜個人ノルマなし＞明確な評価制度◎年収1000万円以上の社員多数,未経験歓迎♪【不動産営業】★入社1年で年収850万円の社員も！ 正社員,正社員,400万円～800万円
186,株式会社ECOサイクル | 残業ゼロでプライベート充実◎入社初年度年収1000万円以上も可能,【営業】収入もプライベート充実も手に入れたい方へ♪※千葉勤務 正社員,正社員,400万円～1200万円
187,株式会社コペル | ★夜勤なし ★完全週休2日 ★送迎ナシ ★持ち帰り残業なし,未経験・第二新卒歓迎！幼児教育に携わる【総合職】★研修充実 正社員,正社員,300万円～500万円
188,株式会社ミルボン | 東証プライム上場のヘア化粧品メーカー：賞与実績年6.5ヶ月分,★未経験歓迎★ 美容室向けヘア化粧品メーカーの【営業職】 正社員,正社員,400万円～480万円
189,株式会社修優舘 | あなたの経験と能力を満足のいく給与に変えてみませんか？,2人に1人が年収700万円超【講師・教室運営】※完全週休2日制も可 正社員,正社員,360万円～700万円
190,イカリ消毒株式会社 | 《15年連続売上UP》大阪/滋賀/京都/九州エリア積極採用中★,未経験OK！日本の環境衛生を支える【企画提案営業】◎転勤なし 正社員,正社員,300万円～500万円
191,大日本印章株式会社 | 【トップHDグループ】完全土日祝休／18:30退社可／賞与6.5ヶ月,【提案営業】印章業界大手で活躍！勤務地考慮/全国募集/未経験OK 正社員,正社員,350万円～800万円
192,株式会社ライフコーポレーション | 【東証プライム一部上場】月給25万円・年収300万円以上を保証,スーパーライフの【店舗管理スタッフ】年齢不問！首都圏限定募集 契約社員,契約社員,300万円～400万円
193,株式会社マミー・インターナショナル | 【面接保証】☆東京都内で新たに5施設がOPEN＆体制強化募集☆,★未経験のママ社員も活躍中！【学童クラブ・児童館指導員】 正社員,正社員,270万円～550万円
194,株式会社コプロ・エンジニアード | 上場企業コプロ・ホールディングスのグループ,【 施工アシスタント 】未経験歓迎／オリジナル研修でステップUP 正社員,正社員,400万円～500万円
195,株式会社サニックス | 【40代50代入社もたくさんいます】初任地は希望確約／年休115日,【点検・保守】応募いただいた方とのご縁を大切に全員面接します 正社員,正社員,
196,渡辺パイプ株式会社 | 圧倒的な商材力で資材をワンストップで提供する業界の先進的企業,【ルート営業】管材・住宅設備・電気資材の流通大手で長く働く 正社員,正社員,350万円～550万円
197,株式会社住建ハウジング | ★勤続手当1000万円！(20年勤続時) ★初月から月40万円以上可能,【完全反響営業】★年収2000万円も目指せる ★未経験歓迎 正社員,正社員,500万円～3000万円
198,株式会社マイナビ | 就職や転職などのあらゆる人生の岐路を支えるサービスを提供,マイナビ転職の【広告営業】★全国の各拠点で積極採用中 正社員,正社員,380万円～570万円
199,株式会社グルメ杵屋 | 東証プライム企業/残業20時間以内/転勤なしもOK/社員寮入居も可,抜群の働きやすさが魅力！【店舗スタッフ】★必ず月8日休み！ 正社員,正社員,
200,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,★町田営業所限定★ 友達より良い暮らしができる!【 法人営業 】 正社員,正社員,350万円～1000万円
201,株式会社フロンティアホールディングス | 働きがいのある会社ランキング選出/28歳で年収1500万円の先輩も,100％反響型の【不動産営業】★賞与1回で360万の実績あり！ 正社員,正社員,500万円～1000万円
202,株式会社ライズイノベーター | 完全週休2日/土日祝休/面接1回(WEB可)/教育補助金年間20万円,"前職より必ず""増給""！【ITエンジニア】年休134日/女性活躍中♪ 正社員",正社員,420万円～1000万円
203,エムズワン株式会社 | ◎綺麗なオフィス勤務◎服装・髪型自由◎子連れ出勤OK,【フロント業務】☆未経験OK☆月給28万円～ 正社員,正社員,400万円～600万円
204,株式会社コプロ・エンジニアード | 上場企業のコプロ・ホールディングスグループ,年休125日で私生活も充実【サポート事務】未経験歓迎／学歴不問 正社員,正社員,400万円～500万円
205,株式会社コペル | ★夜勤なし ★完全週休2日 ★送迎ナシ ★持ち帰り残業なし,【キッズコーチ】★未経験歓迎 ★年休120日以上 ◆残業ほぼナシ 正社員,正社員,300万円～500万円
206,株式会社ケンコー | ＜東証一部上場・(株)ノーリツのグループ＞★ホワイト認定企業,【メンテナンスstaff】★賞与年5回/4年連続平均年収UP！⇒なぜ？ 正社員,正社員,400万円～500万円
207,株式会社ビッグモーター | 【業界屈指のインセンティブ制度】◎年収1000万円も可能,未経験＆知識がなくても活躍できる！【営業】※社会人経験者募集 正社員,正社員,330万円～1500万円
208,チモロ株式会社 | 《報奨金アリ》勉強が苦手だった…そんな経験を活かしませんか？,未経験から活躍しよう!!【PRスタッフ】★平均27.5歳で若手活躍中 正社員,正社員,350万円～500万円
209,奥村組土木興業株式会社 | 年間休日123日｜残業ほぼなし【大阪府緊急雇用対策に賛同】,未経験歓迎！【整備・オペレーター】土日祝完全休み／賞与年3回 正社員,正社員,300万円～420万円
210,株式会社シンクラン | 創業50年の物流企業 ★面接1回！★最短2週間のスピード入社可能,「ホッ」とする瞬間を提供できる【ルート配送スタッフ】未経験OK 正社員,正社員,300万円～550万円
211,泉北ホーム株式会社 | 経験やスキルにより月給27～40万円【大阪府緊急雇用対策に賛同】,未経験OK！【設計スタッフ】★基本残業ゼロ／休みも取得しやすい 正社員,正社員,
212,サステナブルエナジー株式会社 | ★年間休日120日以上★残業月20h以下★賞与年3回★WEB面接可,資格を活かして地球環境に貢献【重機オペレーター】★土日祝休み 正社員,正社員,380万円～630万円
213,UTコンストラクション株式会社 | 【プライム市場UTグループ】年収730万円以上可／残業月17時間,【建設事務スタッフ(書類作成/写真撮影等)】★平均月収29.2万円 正社員,正社員,300万円～650万円
214,新日本住設EAST株式会社 | 【7年連続140％売上UP】★年収1000万円以上も可★9割未経験入社,【ルート営業】★契約1件毎にインセン支給★残業月平均10h以内 正社員,正社員,300万円～600万円
215,株式会社星野リゾート・マネジメント,【ホテル・旅館の運営｜マネジメント候補生】第二新卒積極採用 正社員,正社員,370万円～450万円
216,大東建託株式会社 | 【プライム市場】中途入社は9割が未経験スタート／原則転勤なし,未経験歓迎！【営業】★U/Iターン支援有★フレックス★東海募集 正社員,正社員,400万円～1000万円
217,泉北ホーム株式会社 | 知名度◎地域密着型ハウスメーカー【大阪府緊急雇用対策に賛同】,月給36万円～も可！注文住宅の【施工管理スタッフ】※残業少なめ 正社員,正社員,
218,泉北ホーム株式会社 | CMでもお馴染み！知名度抜群の会社【大阪府緊急雇用対策に賛同】,家づくりの【管理スタッフ(積算・購買・調整など)】※未経験OK 正社員,正社員,
219,東亜電気工業株式会社 | 創業以来75年 連続黒字経営のエレクトロニクス専門商社,電気・電子部品を既存取引先の法人に提案する【ルート営業】 正社員,正社員,
220,新エネルギー流通システム株式会社 | 賞与は年3回支給！手当＆福利厚生も充実しているから安心◎,初回配属地確約！地球環境に貢献できる【営業職】※未経験歓迎！ 正社員,正社員,350万円～500万円
221,新エネルギー流通システム株式会社 | 未経験スタートでも月給28万円を約束！賞与年3回も嬉しい♪,暮らしや社会を支える【総合職(電気工事・業務サポート)】 正社員,正社員,400万円～500万円
222,大東建託株式会社 | 【プライム市場】中途入社は9割が未経験スタート／原則転勤なし,20～50代まで幅広く活躍中！【営業】★未経験歓迎★関西募集 正社員,正社員,400万円～1000万円
223,株式会社アルトナー | 東証プライム上場／最先端分野を担うトップクラスの技術力が自慢,≪理系限定≫20代で600万以上も多数！【研究・設計エンジニア】 正社員,正社員,380万円～800万円
224,株式会社LIXILトータルサービス | ★安心と信頼のLIXILグループ ★年休125日 ★完全週休2日制,未経験から住宅のプロへ！【総合職（施工管理・営業・メンテ）】 正社員,正社員,370万円～500万円
225,UTコンストラクション株式会社 | プライム市場UTグループ★大手グループの安定基盤★土日祝休み,☆未経験歓迎☆【総合職(管理・資料作成等)】★残業月平均17時間 正社員,正社員,350万円～650万円
226,株式会社マジオネット | 《 1年以内の正社員登用率はほぼ100％！》★20～30代活躍中♪,【自動車学校の職員(教習指導員)】未経験歓迎/異業種OK/男女不問 契約社員,契約社員,
227,泉北ホーム株式会社 | 大阪府緊急雇用対策に賛同★産育休実績多数★本社に託児所あり,お客様に寄り添う【インテリアコーディネーター】★基本定時退社 正社員,正社員,320万円～550万円
228,泉北ホーム株式会社 | 最高実績を今年も更新｜100％反響型提案｜平均年収700～800万円,年収1000万円も可能な【営業スタッフ】※テレアポ＆飛び込みなし 正社員,正社員,450万円～800万円
229,大東建託株式会社 | 【プライム市場】中途入社は9割が未経験スタート／原則転勤なし,平均年収850万円超！【営業】★未経験OK★フレックス★関東募集 正社員,正社員,400万円～1000万円
230,大東建託株式会社 | 【U/Iターン支援あり】未経験スタート9割／フレックス制,プライム市場で活躍！【営業】★転勤なし★未経験歓迎★東北募集 正社員,正社員,400万円～1000万円
231,ジョンソン・エンド・ジョンソン株式会社 | 完全週休2日制／福利厚生充実／20～30代女性活躍中！,【メディカル機器の提案営業(外科/整形外科領域)】★女性活躍中 正社員,正社員,550万円～800万円
232,株式会社シンクラン | “もっと笑顔で過ごせる”最高の仲間と出会える場所,コカ・コーラ社専属の【配送ドライバー】免許があればOK★[未]OK 正社員,正社員,300万円～550万円
233,株式会社山王 | ★年間休日117日 ★若手が多数活躍中 ★安定業界&成長企業,あなたも今から、年収200万円UPを目指しませんか？【提案営業】 正社員,正社員,300万円～1000万円
234,株式会社ジャパンプライムムーバ | ★完全週休2日制★フレックスタイム制導入★,リノベーション用物件の【仕入れ営業】 正社員,正社員,
235,ランスタッド株式会社 | ★土日祝休み★フレックス＆リモートワークありで自由度高め！,未経験者歓迎！【人材コンサルタント営業】★人物重視の採用 正社員,正社員,380万円～450万円
236,株式会社DC.21 | ◎残業月平均20h ◎2年目で年収850万円の実績 ◎麻布十番直結,高級賃貸物件の【100%反響営業】★カウンター営業 ★女性活躍中 正社員,正社員,400万円～600万円
237,穴織カーボン株式会社 | 設立60年の歴史と実績あり！カーボン加工技術で先端産業に貢献,未経験スタート歓迎！【法人営業】※完全週休2日制（土日祝） 正社員,正社員,
238,株式会社クラシアン | 景気に左右されない安定企業★毎年依頼件数が増加中！,未経験でも月収30万円可【営業】★残業代100%＆歩合給＆手当あり 正社員,正社員,400万円～600万円
239,株式会社おお蔵ホールディングス | 完全週休2日制／年休120日＋有給5日間＝年間休日125日,立ち上げ１年目！一緒に盛り上げていきませんか！？【反響営業】 正社員,正社員,
240,株式会社ビルディング企画 | 【創業40周年／グループ売上100億円】近々上場を目指し躍進中！,企業のオフィス環境をプロデュースする【企画営業】★未経験OK 正社員,正社員,300万円～450万円
241,株式会社レンタルのニッケン | 【三菱商事のグループ会社】設立50年以上の歴史が、安定性の証！,＜東海・北陸・信越募集＞建設機械を扱う【整備士】★完全土日休 正社員,正社員,350万円～450万円
242,株式会社ロジカル | 手当充実 ★残業少なめ定時退社可能★転勤なし ★未経験大歓迎,"""パルシステム""の【ルートセールス】月給27.5万円～★完週休2日 正社員",正社員,350万円～450万円
243,株式会社クラシアン | 【転勤なし】日本全国に展開中！好きな街で働ける！◆月9日休み,きちんと稼げる【メンテナンススタッフ】※高い技術が身につく！ 正社員,正社員,400万円～600万円
244,株式会社Success Holders | グロース上場◇年間休日122日◇資格取得奨励金◇リモート可,【PM／PL・ITコンサルタント】年収1000万円可_残業月10時間以内 正社員,正社員,360万円～960万円
245,株式会社ロジカル | ★手当充実 ★時間ごとの有給取得も可 ★転勤なし ★未経験歓迎,働きやすさも魅力！パルシステム（生協）の【ルートサービス】 正社員,正社員,350万円～450万円
246,株式会社 未来図建設 | 【創業120周年の老舗企業】19時退社推進中/賞与年2回＋決算賞与,【 建築施工管理 】転勤がない…愛着のある街に貢献できる！ 正社員,正社員,300万円～800万円
247,株式会社ホゼナル | 初年度想定年収500～800万円 | 福岡からの転勤はありません,未経験OK【 不動産アドバイザー 】★完全週休2日制（月8～11日） 正社員,正社員,500万円～800万円
248,関東サービス株式会社 | ◆11年連続売上UP◆選べる勤務地♪◆基本土日休み◆有休取得80％,未経験大歓迎！【物流・倉庫管理スタッフ】面接1回/福利厚生充実 正社員,正社員,300万円～500万円
