,企業名,キャッチコピー,ステータス,初年度年収
33,アーキ・ヤマイチ株式会社 | 【老舗の建材メーカーグループ】＊完全週休2日制＊年休120日超,【法人営業(ルート)】★2021年度賞与は”5ヶ月分” ★転勤なし 正社員,正社員,350万円～450万円
34,三共アメニテクス株式会社 | リピートや紹介からの案件が8割以上♪　営業未経験でも安心◎,ご応募いただいた方全員面接します！【 営業 】※関東限定募集 正社員,正社員,350万円～400万円
35,中井エナジーテック株式会社 | 東京ガスのパートナー企業×定時退社OK×月収40万円超も可能！,育成前提！未経験でも着実に成長できる【技術スタッフ】関東募集 正社員,正社員,400万円～450万円
36,株式会社イーマックエンジニアリング | 【東日本エリアの高速道路の建築設計プロ集団】★20~30代活躍中,★土日祝休み！年休128日以上！【建築設計（意匠・電気設備）】 正社員,正社員,360万円～610万円
37,ホシザキ関東株式会社 | ＊世界60ヶ国以上で使われる「ホシザキ」グループ＊福利厚生充実,東証プライム上場グループの【サービスエンジニア】※未経験歓迎 正社員,正社員,300万円～400万円
38,エスアールエス株式会社 | 建設機械レンタルで圧倒的シェアの「アクティオ」のグループ会社,【総合職（配送サービス／商品管理）】 ☆未経験歓迎！ 正社員,正社員,320万円～450万円
39,株式会社CONY JAPAN | 《一次面接は履歴書不要/エリア限定採用！》＊土日休取得可＊,住宅リフォームの【設計スタッフ】★完全週休2日制/残業少なめ★ 正社員,正社員,350万円～600万円
40,株式会社LAVA International | 20代女性活躍中＊5連休可＊産育休復帰95％＊住宅手当あり,業界No.1企業で”好き”を仕事に！【総合職】◎残業ほぼナシ 正社員,正社員,300万円～350万円
41,大東建託株式会社 | 【プライム市場】全国募集/原則転勤なし/Web説明会実施,"【営業】年収1,000万円可能！<経験者募集/フレックスタイム制> 正社員",正社員,400万円～1000万円
42,株式会社埼玉金周 | ★未経験歓迎 ★月9日休み／希望休もOK！★残業は月5～15hほど,【総合職(葬祭プランナー／アテンダント／店舗スタッフ)】 正社員,正社員,250万円～400万円
43,株式会社テクノプロ | テクノプロ・R&D社／東証プライム市場 テクノプロ・グループ,【研究開発職(化学・バイオ分野)】第二新卒・ポスドク歓迎！ 正社員,正社員,350万円～600万円
44,株式会社テクノプロ | テクノプロ・エンジニアリング社◇プライム市場グループ,未経験歓迎！大手企業中心【法人営業】★年間休日122日／土日休 正社員,正社員,400万円～500万円
45,株式会社ソリド　 | 2025年までに社員数3倍を目標に拡大中！業績好調の安定企業,【工事ディレクター】未経験者歓迎！資格不要！定着率9割！ 正社員,正社員,350万円～400万円
46,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／社宅費6割補助♪,スケールのある仕事♪【トヨタ車体の車両製造】★豊田市(株)PEO 正社員,正社員,430万円～450万円
47,株式会社テクノプロ | テクノプロ・エンジニアリング社◇プライム市場グループ,実務未経験歓迎！【ITエンジニア】☆土日祝休＆残業月平均15時間 正社員,正社員,350万円～600万円
48,株式会社コプロ・エンジニアード | ＃年間休日125日＃転勤なし＃産育休など福利厚生充実,【 管理事務 】事務のお仕事からステップUP★高卒以上 正社員,正社員,400万円～500万円
49,株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,＼岡山限定募集／ 【 提案営業 】※遠方応募OK！WEB面接も実施中 正社員,正社員,350万円～1000万円
50,大阪商運株式会社 | 【運転免許取得を支援】退職金制度・保養施設など福利厚生が充実,中型免許への資格取得支援あり【ルート配送(2t・4t)】月給26万円 正社員,正社員,300万円～400万円
51,"株式会社リライアブル | 転勤なし！／マイカー通勤OK／年収1,000万円以上も可能！",未経験歓迎★若手活躍中！問い合わせ対応【反響営業】年休120日 正社員,正社員,
52,実用春日ホーム株式会社 | <文京区に13店舗展開>残業ほぼなし★20～30代活躍中,平均月給35万円【不動産営業】未経験歓迎！説明会が「紙芝居」？ 正社員,正社員,350万円～1000万円
53,株式会社大門 | 【面接1回！条件を満たす方は面接保証】◆U/Iターン歓迎！社宅有,＼未経験歓迎！月給26万円～／【現場管理スタッフ】◆年休128日 正社員,正社員,350万円～600万円
54,株式会社サカイ引越センター | 【東証プライム市場】☆8年連続業界No.1 ☆オリコン顧客満足1位,※九州限定採用※【 営業職 】◎未経験大歓迎 ◎賞与年3回 正社員,正社員,400万円～500万円
55,BMWグループ合同募集 | 営業・販売・サービス経験者を積極採用中！,BMW／MINIの【セールス・コンサルタント】■年収1000万実例多数 正社員,正社員,500万円～700万円
56,三菱ふそうトラック・バス株式会社 | ダイムラートラックグループ/グローバルな事業展開/福利厚生充実,【国内セールス/提案営業】フレックス/年間休121日/福利厚生充実 正社員,正社員,350万円～750万円
57,株式会社コプロ・エンジニアード | 上場企業コプロ・ホールディングスのグループ,憧れを仕事に！【 街づくりプロデューサー 】★未経験歓迎！ 正社員,正社員,400万円～500万円
58,株式会社ビジネスアシスト | 23年黒字経営の安定企業！　《モデル年収》26歳／年収411万円,「もってけ！」シリーズを手掛ける【企画営業職】★未経験OK 正社員,正社員,
59,株式会社ネクスコ・トール関東 | NEXCO東日本（東日本高速道路株式会社）グループ,無理なく働ける！高速道路の【料金所スタッフ】※年齢・経験不問 契約社員,契約社員,200万円～300万円
60,株式会社プロサーチ | 希望勤務地への配属♪　残業ほぼなしでプライベートも充実！,未経験者歓迎★年間休日125日！【 施工管理アシスタント 】 正社員,正社員,330万円～900万円
61,株式会社カクニシビルダー | 【創業65年】転勤なし・栃木密着で成長中のホームビルダー,"""こだわりの1棟""をカタチにする【建築施工管理】※未経験歓迎 正社員",正社員,360万円～700万円
62,全国漁業協同組合連合会 | 【JF全漁連】コロナ対応テレワーク導入／賞与実績年5.16か月,"【企画営業】☆魚食の魅力を伝え、水産業の""これから""に貢献！ 正社員",正社員,400万円～500万円
63,ジンマー・バイオメット合同会社 | 専門性の高い医療知識が身に付く／自宅が拠点の直行直帰スタイル,世界トップクラスのシェアを誇る【医療機器営業】教育研修あり 正社員,正社員,370万円～670万円
64,東京地下鉄株式会社 | 応募:5月14日(土)迄／エントリーシート登録:5月16日(月)12:00迄,東京メトロで働く【車両職種(点検/整備/検査/修繕)】未経験歓迎 正社員,正社員,300万円～400万円
65,サンプラス株式会社 | 設立75年◆賞与平均2.8か月分 & 定期昇給平均年2.1％(各過去3年),地域のインフラを支える【配送スタッフ】転勤なし／残業月平均5h 正社員,正社員,250万円～350万円
66,沢井製薬株式会社 | 東証プライム上場『サワイグループ』 定着率94.3％ /賞与6.5か月,〈未経験者歓迎〉ジェネリック医薬品の【 医薬品製造スタッフ 】 正社員,正社員,
67,いなば食品株式会社 | 拡大期でのキャリア採用★賞与平均7ヶ月実績など充実の待遇あり,ちゅ～る・ライトツナなどの【企画営業】※20代活躍中 正社員,正社員,420万円～600万円
68,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／月収40万円も可能♪,退職金あり♪【三菱自動車工業の組立スタッフ】★岡崎市(株)PEO 正社員,正社員,450万円～480万円
69,三共アメニテクス株式会社 | リピートや紹介からの案件が7割以上♪　営業未経験でも安心◎,ご応募いただいた方全員面接します！【 営業 】※関西限定募集 正社員,正社員,350万円～400万円
70,丸福建材工業株式会社 | 【創業74年！建築材料販売の老舗企業】◆転勤なし◆残業20h以内,社員が主役！個々の得意を伸ばす【提案営業】休日＆有給取得柔軟 正社員,正社員,
71,株式会社UACJ | 【東証プライム上場】アルミ加工製造で国内トップのシェア(※)！,実は…★《東証プライム上場》企業です！！【機械オペレーター】 正社員,正社員,330万円～400万円
72,株式会社サカイ引越センター | 【東証プライム上場】CMでおなじみ！8年連続売上・取引件数第1位,新生活への期待を運ぶ【ドライバー】※普通免許OK/月給25万円～ 正社員,正社員,350万円～500万円
73,"株式会社スズキ自販東海 | 【スズキ(株)100％出資の直営ディーラー】従業員200名,売上113億",商品力の高さに自信を持てる【営業(個人・法人)】★賞与5.4ヶ月 正社員,正社員,350万円～450万円
74,日立建機日本株式会社 | 《40代モデル年収650万》働きやすさも◎年休129日・完休2日,建設業界の未来を変える。ICT機器導入を進める【技術サポート】 正社員,正社員,350万円～650万円
75,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,大阪・奈良限定募集＆転勤なし!【ライフアドバイザー】土日祝休 正社員,正社員,300万円～500万円
76,エクシオインフラ株式会社 | 土日祝休み／東証プライム上場のグループ会社,【土木施工管理】厚生労働省もびっくり！安心できる会社 正社員,正社員,500万円～700万円
77,中井エナジーテック株式会社 | 大阪ガスのパートナー企業×定時退社OK×月収40万円超も可能！,育成前提！未経験でも着実に成長できる【技術スタッフ】大阪募集 正社員,正社員,400万円～450万円
78,株式会社J's Factory | モノづくりを支える ※全国41拠点に展開中！選択肢が豊富,【製造・技術系総合職】★個室寮アリ★将来のリーダー候補 正社員,正社員,335万円～610万円
79,中京広告株式会社 | 《2007年設立＊成長中企業》いろんな事にチャレンジできる環境,リーダー候補募集！WEB制作や広告の【企画営業】★完全土日休み 正社員,正社員,
80,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／無料のワンルーム寮完備！,三河湾のアートな夏♪【クルマ部品の製造】★西尾市(株)PEO 正社員,正社員,370万円～390万円
81,株式会社アクア | ビルクリーニング「Build’s（ビルズ）」オーナー募集,いつもの掃除で独立！営業する心配なし【Build's FCオーナー】 FCオーナー,FCオーナー,350万円～1500万円
82,株式会社ユナイトボード | 売上連続アップ中で成長性抜群 ★産育休取得・復帰実績あり,未経験歓迎！インテリアメーカーの【企画営業】★女性活躍中 正社員,正社員,320万円～560万円
83,伊野建設株式会社 | 『 私のこと誰も社長となんて呼びませんよ(笑)』社風はほのぼの,一言でいうとあったかい！街づくりを支える会社【作業スタッフ】 正社員,正社員,
84,日本ジッコウ株式会社 | 完全週休2日／残業少なめ／立ち上げメンバー募集,コンクリート防食メーカーの【施工管理】★未経験者を育成！ 正社員,正社員,300万円～450万円
85,株式会社ランテック | 【東証上場「センコーグループ」】★賞与実績年：4.26ヶ月！,物流企業の中核を担う【ドライバー】★資格取得支援有・未経験OK 正社員,正社員,
86,株式会社名陽建工 | <10年連続売上UP>★9割が公共事業 ★現場は名古屋市内が中心,『 気付いたら、長く勤めてた。』【作業スタッフ】*人物重視採用 正社員,正社員,300万円～500万円
87,中日本ハイウェイ・エンジニアリング名古屋株式会社 | NEXCO中日本グループ／年間休日130日以上／賞与6ヶ月分支給,高速道路の【技術系総合職(土木、建築、電気・通信、機械)】 正社員,正社員,300万円～600万円
88,千葉産業株式会社 | iPadやアプリ導入で成長・営業しやすい環境！ストレスなく働ける,《月給30万円以上》【ルート営業】充実の教育があるから未経験OK 正社員,正社員,360万円～430万円
89,株式会社日本住宅クリエイト | 【日本住宅総合開発グループ】平均年齢24歳◎若手が多数活躍中！,電気設備機器の【取付・配線スタッフ】★未経験歓迎★賞与年3回 正社員,正社員,345万円～600万円
90,株式会社イーマックエンジニアリング | 【東日本エリアの高速道路の建築設計プロ集団】★20~30代活躍中,【施設設計(電気設備/通信設備)】★土日祝休み！年休128日以上！ 正社員,正社員,360万円～610万円
91,株式会社川本 | 【100％官公庁案件だから安定】★20～30代の若手スタッフ活躍中,公共案件がメインの【営業職】◎賞与平均6ヶ月／最高7.5ヶ月 正社員,正社員,350万円～450万円
92,技研サービス株式会社 | 安定性◎大手メーカーと長年取引！愛媛/福岡/広島/石川/大阪募集,【総合職(定期点検・フロン回収)】未経験歓迎！年休121日 正社員,正社員,300万円～400万円
93,アウトソーシンググループ合同募集 | ★東証プライム上場グループ／車・バイク・自転車通勤OK♪,特別賞与70万円【ダイハツ九州の製造スタッフ】★中津市(株)PEO 正社員,正社員,380万円～400万円
94,ＳＯＭＰＯひまわり生命保険株式会社 | 土日祝＋安心の固定給/オンライン商談可/3年の研修制度/転勤なし,【ライフカウンセラー】★全国募集★女性活躍中★学歴不問 正社員,正社員,350万円～600万円
95,株式会社メイワスカイサポート | ANAパートナー企業！／新規ハンドリングスタート予定！！,ANAを間近でサポート！【グランドハンドリング】未経験OK！ 正社員,正社員,250万円～300万円
96,ブリヂストンタイヤソリューションジャパン株式会社 | 成長×安定／「個」の成長にもフォーカスした職場です！,【企画営業】世界トップシェアの商材を扱い営業として活躍！ 正社員,正社員,300万円～450万円
97,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクの【法人営業】社会人経験必須◎販売/接客経験歓迎 正社員,正社員,
98,株式会社グランレブリー | InstagramやYouTubeでの情報発信により高い知名度を獲得,★お客様の理想を叶える★【建築設計】※育成枠採用｜未経験歓迎 正社員,正社員,300万円～800万円
99,株式会社ネクステージ | 上場企業/Audiなどの正規ディーラーを展開/営業利益前年比200%UP,輸入車正規ディーラーの【セールススタッフ】★平均年収740万 正社員,正社員,400万円～800万円
100,パスキン工業株式会社 | ★WEB面接可能★【創業66年】官公庁案件多数の優良企業★,働きやすさ&やりがい◎の【土木設計】※年休110日/残業月20h程度 正社員,正社員,420万円～600万円
101,株式会社飯田産業 | 【東証プライム市場上場/飯田グループホールディングス】,分譲住宅国内シェアNo.1のブランドが成功を後押し！【営業職】 正社員,正社員,400万円～800万円
102,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,東大阪・大東限定募集！【営業スタッフ】※土日祝休／転勤なし 正社員,正社員,300万円～500万円
